frameid;landmark;x;y;abs_x;abs_y
0;204;2,8821E+16;4,93015E+16;1,84455E+15;2,36647E+16
;;;;;
0;205;2,81354E+16;4,08799E+16;1,80066E+16;1,96224E+16
;;;;;
0;206;2,90436E+15;4,2367E+15;1,85879E+15;2,03361E+15
;;;;;
0;207;2,72229E+16;4,29146E+16;1,74226E+16;2,0599E+16
;;;;;
0;208;3,06345E+15;5,25766E+14;1,96061E+15;2,52368E+16
;;;;;
0;209;3,13035E+16;3,86825E+15;2,00342E+16;1,85676E+16
;;;;;
0;210;2,70911E+16;4,89412E+14;1,73383E+16;2,34918E+16
;;;;;
0;211;2,80934E+16;5,03846E+15;1,79798E+16;2,41846E+16
;;;;;
0;212;2,76183E+14;4,63936E+14;1,76757E+16;2,22689E+16
;;;;;
0;213;2,50764E+16;4,37095E+16;1,60489E+15;2,09805E+16
;;;;;
0;214;2,64955E+16;4,65258E+16;1,69571E+16;2,23324E+15
;;;;;
0;215;2,44007E+15;4,49358E+16;1,56164E+16;2,15692E+15
;;;;;
0;216;2,82362E+14;4,40617E+14;1,80712E+15;2,11496E+16
;;;;;
0;217;3,2015E+16;3,70377E+14;2,04896E+16;1,77781E+16
;;;;;
0;218;3,16833E+14;3,99192E+15;2,02773E+16;1,91612E+16
;;;;;
0;219;3,11445E+15;4,03229E+15;1,99324E+16;1,9355E+15
;;;;;
0;220;3,21066E+16;3,9114E+16;2,05482E+16;1,87747E+15
;;;;;
0;221;3,1594E+15;3,1643E+16;2,02202E+16;1,51887E+16
;;;;;
0;222;3,03175E+15;3,0631E+15;1,94032E+16;1,47029E+16
;;;;;
0;223;2,91162E+16;3,03789E+16;1,86343E+16;1,45818E+16
;;;;;
0;224;2,80934E+16;3,06407E+16;1,79797E+16;1,47075E+16
;;;;;
0;225;2,73361E+16;3,12595E+16;1,74951E+16;1,50046E+14
;;;;;
0;226;2,67397E+15;3,3541E+15;1,71134E+16;1,60997E+16
;;;;;
0;227;2,41647E+16;3,72463E+15;1,54654E+15;1,78782E+16
;;;;;
0;228;2,74792E+15;3,52668E+15;1,75867E+16;1,69281E+16
;;;;;
0;229;2,84108E+16;3,56984E+16;1,81829E+16;1,71352E+15
;;;;;
0;230;2,95256E+16;3,57303E+16;1,88964E+16;1,71505E+15
;;;;;
0;231;3,05242E+16;3,54987E+16;1,95355E+16;1,70394E+16
;;;;;
0;232;3,12627E+16;3,5166E+15;2,00081E+16;1,68797E+15
;;;;;
0;233;3,17957E+15;3,48502E+15;2,03493E+16;1,67281E+15
;;;;;
0;234;2,38849E+15;3,78852E+16;1,52864E+16;1,81849E+16
;;;;;
0;235;3,11423E+15;4,07394E+16;1,99311E+15;1,95549E+15
;;;;;
0;236;3,25015E+15;3,71201E+15;2,0801E+16;1,78176E+15
;;;;;
0;237;3,22437E+16;3,99585E+15;2,0636E+16;1,91801E+15
;;;;;
0;238;3,26375E+16;4,07018E+16;2,0888E+16;1,95369E+15
;;;;;
0;239;3,22423E+15;4,0234E+14;2,06351E+16;1,93123E+16
;;;;;
0;240;3,136E+15;4,1198E+16;2,00704E+15;1,9775E+16
;;;;;
0;241;3,27819E+16;4,07999E+15;2,09804E+16;1,9584E+14
;;;;;
0;242;3,28309E+16;4,11766E+15;2,10118E+16;1,97648E+16
;;;;;
0;243;3,16954E+15;3,39571E+16;2,0285E+16;1,62994E+16
;;;;;
0;244;3,22371E+16;3,42493E+15;2,06317E+15;1,64397E+14
;;;;;
0;245;3,26341E+16;3,44572E+14;2,08858E+15;1,65394E+15
;;;;;
0;246;2,78311E+15;3,28364E+16;1,78119E+16;1,57615E+16
;;;;;
0;247;2,73303E+16;3,23046E+15;1,74914E+16;1,55062E+16
;;;;;
0;248;3,45998E+14;3,68151E+15;2,21439E+16;1,76713E+16
;;;;;
0;249;4,04552E+13;3,60669E+16;2,58913E+15;1,73121E+16
;;;;;
0;250;3,42393E+16;4,12448E+15;2,19131E+16;1,97975E+16
;;;;;
0;251;4,37295E+15;3,32155E+16;2,79869E+15;1,59434E+16
;;;;;
0;252;3,77128E+15;3,62617E+16;2,41362E+16;1,74056E+16
;;;;;
0;253;3,85247E+15;3,66028E+15;2,46558E+16;1,75693E+16
;;;;;
0;254;3,93593E+16;3,68146E+16;2,519E+15;1,7671E+15
;;;;;
0;255;4,07048E+16;3,65078E+15;2,60511E+15;1,75237E+16
;;;;;
0;256;3,7089E+15;3,58211E+15;2,37369E+15;1,71941E+16
;;;;;
0;257;3,95278E+16;3,29779E+14;2,52978E+16;1,58294E+16
;;;;;
0;258;3,8499E+15;3,29241E+15;2,46394E+15;1,58036E+16
;;;;;
0;259;4,04538E+16;3,34436E+15;2,58904E+15;1,60529E+16
;;;;;
0;260;4,10129E+16;3,41651E+16;2,62482E+16;1,63992E+16
;;;;;
0;261;4,11377E+11;3,73982E+15;26328125;1,79511E+15
;;;;;
0;262;3,57918E+16;5,27648E+15;2,29067E+16;2,53271E+16
;;;;;
0;263;4,08863E+16;3,57836E+15;2,61672E+16;1,71761E+16
;;;;;
0;264;4,35495E+16;3,81024E+15;2,78717E+16;1,82892E+15
;;;;;
0;265;4,22216E+15;3,69033E+16;2,70218E+16;1,77136E+15
;;;;;
0;266;3,76679E+16;4,10508E+15;2,41074E+15;1,97044E+16
;;;;;
0;267;3,39494E+15;4,53487E+15;2,17276E+16;2,17674E+14
;;;;;
0;268;3,3767E+16;4,64502E+15;2,16109E+15;2,22961E+16
;;;;;
0;269;3,48377E+15;4,60267E+14;2,22962E+16;2,20928E+16
;;;;;
0;270;3,54013E+15;4,66918E+16;2,26568E+15;2,24121E+16
;;;;;
0;271;3,44727E+16;4,67332E+16;2,20625E+16;2,2432E+16
;;;;;
0;272;3,50206E+16;4,70681E+15;2,24132E+16;2,25927E+16
;;;;;
0;273;3,65269E+15;4,88395E+16;2,33772E+16;2,3443E+15
;;;;;
0;274;3,42566E+16;4,04083E+16;2,19242E+16;1,9396E+16
;;;;;
0;275;3,44684E+16;3,92645E+15;2,20598E+16;1,88469E+16
;;;;;
0;276;4,22246E+16;3,3276E+15;2,70237E+15;1,59725E+16
;;;;;
0;277;3,63144E+15;3,77284E+16;2,32412E+16;1,81096E+16
;;;;;
0;278;3,61431E+15;4,0887E+15;2,31316E+16;1,96257E+16
;;;;;
0;279;3,62541E+15;4,0355E+16;2,32026E+16;1,93704E+16
;;;;;
0;280;4,00982E+14;4,1719E+15;2,56628E+15;2,00251E+16
;;;;;
0;281;3,45411E+15;3,79221E+16;2,21063E+16;1,82026E+16
;;;;;
0;282;4,03901E+16;3,1171E+15;2,58496E+16;1,49621E+15
;;;;;
0;283;4,15282E+16;3,202E+15;2,65781E+15;1,53696E+16
;;;;;
0;284;4,30215E+15;3,08552E+15;2,75338E+16;1,48105E+16
;;;;;
0;285;3,64369E+13;3,13623E+16;2,33196E+15;1,50539E+15
;;;;;
0;286;3,75901E+16;3,33263E+16;2,40577E+16;1,59966E+15
;;;;;
0;287;3,72131E+16;4,78993E+15;2,38164E+15;2,29917E+16
;;;;;
0;288;4,15999E+15;4,95082E+15;2,66239E+15;2,37639E+16
;;;;;
0;289;3,54301E+16;4,1399E+15;2,26753E+16;1,98715E+16
;;;;;
0;290;3,47457E+15;4,161E+14;2,22372E+16;1,99728E+16
;;;;;
0;291;3,60092E+16;4,77729E+16;2,30459E+15;2,2931E+16
;;;;;
0;292;3,58211E+15;4,76929E+15;2,29255E+16;2,28926E+16
;;;;;
0;293;4,20885E+16;3,14843E+16;2,69366E+15;1,51125E+16
;;;;;
0;294;3,60831E+16;4,15283E+16;2,30932E+16;1,99336E+15
;;;;;
0;295;3,87652E+15;3,08666E+15;2,48098E+16;1,4816E+16
;;;;;
0;296;3,90222E+14;3,00085E+16;2,49742E+15;1,44041E+16
;;;;;
0;297;3,97132E+16;2,72933E+15;2,54165E+16;1,31008E+15
;;;;;
0;298;4,22574E+15;3,15673E+15;2,70448E+16;1,51523E+16
;;;;;
0;299;3,89995E+15;2,90066E+15;2,49597E+15;1,39232E+16
;;;;;
0;300;4,27693E+15;3,3059E+15;2,73723E+15;1,58683E+16
;;;;;
0;301;4,30018E+15;3,35367E+15;2,75212E+16;1,60976E+15
;;;;;
0;302;3,38645E+15;4,5941E+16;2,16733E+16;2,20517E+15
;;;;;
0;303;3,46495E+16;4,63983E+15;2,21757E+16;2,22712E+16
;;;;;
0;304;3,52125E+15;4,68752E+15;2,2536E+16;2,25001E+16
;;;;;
0;305;3,51956E+16;4,16049E+15;2,25252E+16;1,99703E+16
;;;;;
0;306;3,59121E+15;4,77339E+15;2,29838E+15;2,29123E+16
;;;;;
0;307;3,5534E+15;4,77098E+16;2,27418E+16;2,29007E+16
;;;;;
0;308;3,57252E+16;4,76499E+16;2,28641E+16;2,2872E+16
;;;;;
0;309;3,51077E+15;4,07379E+15;2,2469E+16;1,95542E+16
;;;;;
0;310;3,48813E+15;4,71778E+15;2,2324E+16;2,26453E+16
;;;;;
0;311;3,43407E+16;4,69384E+16;2,19781E+16;2,25304E+15
;;;;;
0;312;3,36855E+15;4,67619E+15;2,15587E+15;2,24457E+16
;;;;;
0;313;3,37691E+15;5,00212E+15;2,16122E+16;2,40102E+16
;;;;;
0;314;3,37032E+16;4,7995E+15;2,157E+16;2,30376E+16
;;;;;
0;315;3,37081E+15;4,74888E+15;2,15732E+16;2,27946E+16
;;;;;
0;316;3,3698E+15;4,71027E+16;2,15667E+16;2,26093E+16
;;;;;
0;317;3,36663E+15;4,68119E+14;2,15464E+16;2,24697E+15
;;;;;
0;318;3,48695E+16;4,72099E+15;2,23164E+16;2,26607E+16
;;;;;
0;319;3,49814E+16;4,73983E+16;2,23881E+15;2,27512E+16
;;;;;
0;320;3,50962E+15;4,7654E+14;2,24616E+16;2,28739E+15
;;;;;
0;321;3,51908E+16;4,79751E+16;2,25221E+16;2,3028E+16
;;;;;
0;322;3,65364E+15;4,52026E+14;2,33833E+16;2,16972E+16
;;;;;
0;323;4,30259E+16;4,38778E+15;2,75365E+15;2,10614E+16
;;;;;
0;324;3,52923E+16;4,74257E+16;2,2587E+16;2,27643E+15
;;;;;
0;325;3,54047E+16;4,75538E+15;2,2659E+16;2,28258E+16
;;;;;
0;326;3,44571E+16;4,20396E+15;2,20525E+16;2,0179E+15
;;;;;
0;327;3,56795E+15;4,22591E+15;2,28349E+16;2,02843E+16
;;;;;
0;328;3,4597E+15;4,18313E+15;2,2142E+15;2,0079E+16
;;;;;
0;329;3,71105E+16;3,86876E+16;2,37508E+16;1,85701E+16
;;;;;
0;330;3,83702E+16;3,9821E+16;2,45569E+16;1,91141E+15
;;;;;
